[2025-12-22 13:18:43] >>> Recording Started <<<
[2025-12-22 13:18:43] [Google Gemini - Google Chrome] MouseMove: dx=79, dy=81
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=-2, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=6, dy=2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=6, dy=1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=8, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=8, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=9, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=10, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=10, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=7, dy=-1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=8, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=11, dy=-3
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=7, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=7, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=10, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=6, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=5, dy=-1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=-1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=-2
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=-1
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=4, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=4, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:44] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=1
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=1
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=1
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=3, dy=2
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] MouseMove: dx=2, dy=0
[2025-12-22 13:18:45] [Google Gemini - Google Chrome] Mouse: Left Click
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-7
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=4, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=2, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=1, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-7
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-6
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-5
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-4
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:45] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-6
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=0
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-4, dy=-2
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-3, dy=-1
[2025-12-22 13:18:46] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=0
[2025-12-22 13:18:46] [系统托盘溢出窗口。] Mouse: Left Click
[2025-12-22 13:18:47] [系统托盘溢出窗口。] Mouse: Right Click
[2025-12-22 13:18:47] [Input Recorder v2.0] MouseMove: dx=-7, dy=-2
[2025-12-22 13:18:47] [Input Recorder v2.0] MouseMove: dx=-21, dy=-3
[2025-12-22 13:18:47] [Input Recorder v2.0] MouseMove: dx=-39, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-53, dy=-9
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-69, dy=-10
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-59, dy=-7
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-64, dy=-12
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-61, dy=-17
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-60, dy=-17
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-62, dy=-20
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-58, dy=-25
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-59, dy=-24
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-52, dy=-24
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-50, dy=-23
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-53, dy=-29
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-34, dy=-24
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-44, dy=-33
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-38, dy=-24
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-2, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-2, dy=-6
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-7
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-7
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-12
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-10
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-2, dy=-6
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-5
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=-1, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:48] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:49] [Input Recorder v2.0] Mouse: Left Click
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=0
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-4, dy=4
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-5, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-6, dy=5
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-4, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-6, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-6, dy=5
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-6, dy=5
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-4, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-6, dy=5
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-4, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=1
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-4, dy=5
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=4
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-1, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-1, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-1, dy=3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-3, dy=-4
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=-3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:50] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-3, dy=-1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-3, dy=-3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=1
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=7
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=3
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-1, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=-2, dy=4
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:51] [Input Recorder v2.0] MouseMove: dx=0, dy=4
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=-1, dy=3
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=-1, dy=-4
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-6
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-3
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-4
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=-2
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=-2, dy=-1
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=2
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=-1, dy=6
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=-1, dy=5
[2025-12-22 13:18:52] [Input Recorder v2.0] MouseMove: dx=0, dy=5
